name,deliveryFee_deliveroo,city,deliveryFee_takeaway,fee_difference
Sushi Mart,4.99,Woluwé-Saint-Lambert,5.59,-0.5999999999999996
Bia Mara,4.99,Antwerpen,5.59,-0.5999999999999996
Otomat MAS,4.99,Antwerpen,5.59,-0.5999999999999996
Mikuriya,4.99,Woluwé-Saint-Lambert,5.59,-0.5999999999999996
La Nuova Piazza,4.99,Bruxelles,5.59,-0.5999999999999996
Chez Marie,4.99,Antwerpen,5.59,-0.5999999999999996
Lucy Chang Gent,4.99,Gent,4.84,0.15000000000000036
Balls & Glory Ghent,4.99,Gent,4.84,0.15000000000000036
Tenshi,4.99,Woluwe-Saint-Pierre,2.0,2.99
Basic Italian,4.99,Gent,5.59,-0.5999999999999996
Bavet Verloren Kost,4.99,Gent,4.84,0.15000000000000036
Orso Pizzeria,4.99,Antwerpen,5.59,-0.5999999999999996
Destiny Asian Food,4.99,Gent,5.59,-0.5999999999999996
Kim's Kitchen,4.99,Gent,4.84,0.15000000000000036
Tota Empanadas,4.99,Antwerpen,5.59,-0.5999999999999996
Tota Empanadas,4.99,Antwerpen,5.59,-0.5999999999999996
Umi Sushi,4.99,Antwerpen,0.0,4.99
Yu-Thai,4.99,Antwerpen,5.59,-0.5999999999999996
Ichi Bites,4.99,Gent,4.84,0.15000000000000036
Yadan,4.99,Antwerpen,5.59,-0.5999999999999996
Toshi Sushi,4.99,Antwerpen,0.0,4.99
Ellis,4.99,Antwerpen,5.59,-0.5999999999999996
Ikura Sushi,4.99,Gent,0.0,4.99
BAGL,4.99,Bruxelles,0.0,4.99
Tenshi,4.99,Bruxelles,0.0,4.99
Bavet,4.99,Antwerpen,4.84,0.15000000000000036
Balls & Glory,4.99,Leuven,2.99,2.0
De Appel,4.99,Leuven,2.99,2.0
Annapurna,4.99,Leuven,3.49,1.5
8tea5,4.99,Antwerpen,4.84,0.15000000000000036
Indian Royal Food,4.99,Leuven,3.0,1.9900000000000002
Basic Italian,4.99,Mechelen,3.49,1.5
Calzone Clemente,4.99,Gent,4.84,0.15000000000000036
Le Pain Quotidien - Brugge,4.99,Bruges,3.49,1.5
Pizza Hut,4.99,Mechelen,1.99,3.0
Sushi Shop,4.99,Waterloo,0.0,4.99
Sushi Palace Wilrijk,4.99,Wilrijk,2.0,2.99
Le 2e Élément,4.99,Woluwe-Saint-Pierre,0.0,4.99
Ah Quy,4.99,Leuven,2.99,2.0
The Noodlebar,4.99,Gent,4.84,0.15000000000000036
The Noodlebar,4.99,Gand,4.84,0.15000000000000036
The Noodlebar,4.99,Kortrijk,3.5,1.4900000000000002
Nour Al Cham Zain Damas,4.99,Jette,5.59,-0.5999999999999996
Sushi Mama,4.99,Leuven,2.99,2.0
Unique Asia Restaurant,4.99,Gent,0.0,4.99
Little Beirut,4.99,Antwerpen,5.59,-0.5999999999999996
Chez Hakan,4.99,Ganshoren,5.59,-0.5999999999999996
Pastabar the Bake Off,4.99,Leuven,3.49,1.5
Bella Italia,4.99,Brugge,4.49,0.5
Thai Oriental Palace,4.99,Antwerpen,0.0,4.99
Taj Mahal Antwerp,4.99,Antwerpen,0.0,4.99
Nihao Leuven,4.99,Leuven,0.0,4.99
Napoli Da Leonardo,4.99,Schaerbeek,2.99,2.0
Masala Express,4.99,Courtrai,2.0,2.99
Shilies,4.99,Gent,2.0,2.99
Nimmanhaemin,4.99,Antwerpen,4.84,0.15000000000000036
Otomat,4.99,Leuven,2.99,2.0
Pizzeria Al Dente,4.99,Evere,5.0,-0.009999999999999787
De Appelier,4.99,Gent,4.84,0.15000000000000036
WASBAR Melkmarkt,4.99,Antwerpen,5.59,-0.5999999999999996
Pizzeria l'Ami,4.99,Uccle,0.0,4.99
Fitchen Vlaanderenstraat,4.99,Gent,3.49,1.5
Nakhon Thai,4.99,Brugge,4.49,0.5
La Sushiria,4.99,Jette,2.0,2.99
Amine Delices,4.99,Ganshoren,3.84,1.1500000000000004
WASBAR Graanmarkt,4.99,Antwerpen,4.84,0.15000000000000036
Sushi Hungry Eye,4.99,Leuven,0.0,4.99
Pizzeria Milano - Brussels,4.99,,0.0,4.99
Couleur Safran,4.99,Uccle,0.0,4.99
Sushi Today,4.99,Antwerpen,0.0,4.99
Fitchen Korenmarkt,4.99,Gent,4.84,0.15000000000000036
Punjab Tandoori Restaurant,4.99,Gent,0.0,4.99
t Stad Kebab,4.99,Antwerpen,5.59,-0.5999999999999996
Muradim,4.99,Antwerpen,4.84,0.15000000000000036
Tex mex Belgium,4.99,Forest,3.5,1.4900000000000002
Neapolis,4.99,Gent,4.84,0.15000000000000036
L'Estaminet,4.99,Brugge,4.49,0.5
Kababu,4.99,Antwerpen,5.59,-0.5999999999999996
Ada Eethuis,4.99,Leuven,0.0,4.99
McDonald's Teniersplaats,4.99,Antwerpen,3.49,1.5
Domus,4.99,Leuven,2.99,2.0
Topkapi Restaurant,4.99,Antwerpen,5.59,-0.5999999999999996
Taverne Marina,4.99,Sint-Pieters-Leeuw,2.0,2.99
